# DCS_Hosts.txt downloaded from http://www.pistar.uk/downloads/DCS_Hosts.txt
# DCS Hosts resolved from xreflector.net DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistarusergroup/
# File updated on Tuesday 5th of August 2025
DCS000	47.206.136.225
DCS001	5.252.227.231
DCS002	185.228.139.209
DCS003	176.10.105.254
DCS004	77.243.53.205
DCS005	44.31.166.9	L
DCS006	65.175.191.181	L
DCS007	44.137.42.27
DCS008	148.135.83.153
DCS009	89.185.97.35
DCS010	85.197.129.86	L
DCS011	81.95.126.168
DCS012	212.237.3.141	L
DCS013	dcs013.xreflector.net
DCS014	52.63.223.130
DCS015	194.59.205.228
DCS016	34.233.189.46
DCS017	201.62.48.60
DCS018	161.97.73.43
DCS019	31.7.247.58
DCS020	213.229.72.163
DCS021	dcs021.xreflector.net
DCS022	194.164.167.181
DCS023	77.85.192.94
DCS024	dcs024.xreflector.net
DCS025	dcs025.xreflector.net
DCS026	217.160.212.72
DCS027	dcs027.xreflector.net
DCS028	216.128.130.30
DCS030	185.230.132.103
DCS032	158.64.26.140
DCS033	164.132.230.151
DCS034	dcs034.xreflector.net
DCS035	45.79.94.184
DCS036	101.32.47.145
DCS037	198.100.154.155
DCS038	44.15.64.56
DCS039	192.109.241.46
DCS040	185.11.166.85
DCS041	206.81.1.250
DCS042	86.184.153.201
DCS043	206.189.239.225
DCS044	dcs044.xreflector.net
DCS045	70.44.20.24
DCS046	190.54.137.189
DCS047	202.171.147.58
DCS048	37.15.126.125
DCS049	54.237.10.173
DCS050	140.82.51.26
DCS051	84.127.123.185
DCS052	128.22.149.69
DCS053	172.233.149.75
DCS054	31.62.69.151
DCS055	52.80.4.154
DCS056	66.42.126.197
DCS057	212.107.141.130
DCS058	150.66.16.176
DCS059	68.0.247.194
DCS060	45.76.133.116
DCS061	192.248.160.49
DCS062	191.101.234.148
DCS063	85.215.161.24
DCS064	122.222.1.50
DCS065	65.189.90.77
DCS066	216.24.184.185
DCS067	144.202.30.59
DCS068	212.237.22.199
DCS069	51.77.213.200
DCS070	186.193.221.178
DCS071	211.60.41.185
DCS072	108.61.205.188
DCS073	45.77.192.120
DCS074	222.128.4.82
DCS075	211.60.41.186
DCS076	203.137.116.117
DCS077	141.11.210.34
DCS078	139.196.158.18
DCS079	44.31.191.62
DCS080	219.122.133.186
DCS081	59.190.22.105
DCS082	44.20.29.130
DCS083	190.100.113.203
DCS084	74.208.132.51
DCS085	113.150.26.8
DCS086	140.179.13.243
DCS087	172.236.53.203
DCS088	44.137.37.242
DCS089	155.138.240.150
DCS090	73.142.146.235
DCS091	192.81.215.15
DCS092	80.211.239.166
DCS093	212.171.81.127
DCS094	129.123.59.69
DCS095	203.137.76.53
DCS096	121.145.136.53
DCS097	207.246.112.46
DCS098	122.132.48.12
DCS099	5.189.162.5
DCS100	47.206.136.218
DCS101	47.206.136.219
DCS102	47.206.136.220
DCS103	47.206.136.221
DCS104	47.206.136.222
DCS105	45.143.7.43
DCS106	68.42.187.67
DCS107	218.95.37.116
DCS108	126.39.215.3
DCS109	118.27.15.122
DCS110	140.82.14.24
DCS111	61.195.96.160
DCS112	82.223.54.35
DCS113	144.76.118.99
DCS114	89.111.154.99
DCS115	217.182.128.3
DCS116	80.211.79.156
DCS117	200.108.249.62
DCS118	5.249.148.252
DCS119	142.171.108.29
DCS120	15.204.232.22
DCS121	95.249.77.25
DCS122	194.37.80.40
DCS123	217.235.79.139
DCS124	211.14.169.234
DCS125	79.172.213.236
DCS126	178.192.8.105
DCS127	143.198.50.155
DCS128	200.80.247.90
DCS129	203.86.196.15
DCS130	77.93.39.86
DCS131	45.80.171.194
DCS132	195.225.77.3
DCS133	62.220.129.89
DCS134	51.83.134.240
DCS135	45.92.44.246
DCS136	153.216.113.197
DCS137	78.138.0.61
DCS138	103.195.7.20
DCS139	xlx139.lmarc.net
DCS140	95.211.211.145
DCS141	3.19.122.217
DCS142	149.28.77.61
DCS144	54.188.28.93
DCS145	70.44.15.176
DCS146	216.225.195.109
DCS147	181.92.5.142
DCS148	122.154.141.51
DCS149	122.154.140.136
DCS150	192.241.158.197
DCS151	159.203.105.64
DCS152	74.208.234.214
DCS153	79.163.226.128
DCS154	146.56.130.205
DCS155	24.131.191.171
DCS156	74.207.252.205
DCS157	195.231.78.164
DCS158	60.37.168.166
DCS159	69.84.242.182
DCS160	61.195.109.179
DCS161	138.2.175.34
DCS163	45.143.93.75
DCS164	44.98.254.88
DCS165	84.254.24.85
DCS166	79.137.85.89
DCS167	172.233.157.125
DCS168	72.50.87.237
DCS169	217.72.202.215
DCS170	64.23.194.143
DCS171	62.113.103.244
DCS172	217.86.194.151
DCS173	137.184.146.29
DCS174	81.169.128.244
DCS175	162.248.92.25
DCS176	128.22.152.69
DCS177	51.77.151.223
DCS178	80.229.161.124
DCS179	31.127.24.191
DCS180	192.241.240.7
DCS181	174.137.23.148
DCS182	158.180.71.152
DCS183	45.32.75.47
DCS185	64.181.204.84
DCS187	24.94.6.105
DCS188	75.8.230.12
DCS189	46.181.171.44
DCS190	186.123.100.105
DCS191	153.92.4.97
DCS192	118.27.9.127
DCS193	170.187.157.131
DCS194	178.238.240.209
DCS195	134.122.12.176
DCS196	142.189.210.152
DCS197	44.184.136.20
DCS198	64.176.19.182
DCS199	194.195.215.143
DCS200	88.7.87.164
DCS201	157.245.45.67
DCS202	71.83.192.234
DCS203	50.116.36.65
DCS204	77.162.87.115
DCS205	167.71.95.160
DCS207	82.11.98.1
DCS208	213.186.34.50
DCS209	104.128.168.21
DCS210	173.212.223.187
DCS211	1.215.106.204
DCS212	52.38.90.188
DCS213	207.246.72.25
DCS214	212.227.87.198
DCS215	46.101.80.121
DCS216	172.234.217.149
DCS217	173.79.16.221
DCS218	138.128.247.74
DCS219	108.61.87.174
DCS220	164.70.120.126
DCS223	85.131.248.23
DCS225	61.195.108.252
DCS227	89.33.44.100
DCS228	176.118.232.100
DCS229	195.49.75.204
DCS230	80.250.3.114
DCS231	94.32.71.16
DCS233	193.237.155.252
DCS234	82.165.7.197
DCS235	217.44.157.120
DCS237	74.196.158.133
DCS238	46.32.62.49
DCS239	147.79.74.69
DCS240	186.228.91.9
DCS241	51.83.98.154
DCS242	66.42.84.85
DCS243	107.172.243.188
DCS244	72.14.187.79
DCS245	172.232.15.244
DCS246	172.93.48.159
DCS247	44.31.91.236
DCS248	81.136.218.49
DCS249	107.128.234.208
DCS250	23.130.172.11
DCS251	195.201.35.61
DCS252	209.250.230.194
DCS253	172.104.188.19
DCS254	198.58.115.22
DCS255	142.91.158.199
DCS256	178.136.97.107
DCS257	45.89.91.89
DCS260	217.160.26.79
DCS261	212.90.155.148
DCS262	87.176.112.5
DCS263	85.214.92.118
DCS264	52.2.131.118
DCS265	24.210.75.18
DCS266	62.171.178.202
DCS267	91.209.16.180
DCS268	185.11.166.22
DCS269	44.31.0.6
DCS270	158.64.26.132
DCS272	172.233.149.106
DCS275	77.68.88.180
DCS277	67.207.37.195
DCS280	82.55.19.28
DCS281	74.91.126.68
DCS282	158.179.168.187
DCS283	220.119.199.180
DCS284	185.80.0.95
DCS285	216.82.35.107
DCS286	93.186.113.147
DCS287	108.66.214.59
DCS288	24.30.152.243
DCS289	45.56.124.121
DCS290	188.251.176.252
DCS291	101.143.242.189
DCS294	84.74.144.7
DCS295	74.208.48.179
DCS296	153.127.50.48
DCS297	118.1.94.31
DCS298	122.132.41.160
DCS299	202.36.45.107
DCS300	45.143.7.250
DCS301	124.187.44.129
DCS302	82.20.164.252
DCS303	76.25.18.88
DCS304	172.105.13.77
DCS305	141.95.229.116
DCS307	72.21.76.154
DCS309	198.74.54.133
DCS310	51.38.82.109
DCS311	172.236.251.162
DCS312	192.241.160.183
DCS314	200.115.223.189
DCS315	76.157.8.181
DCS317	45.63.77.236
DCS318	47.181.192.143
DCS320	81.43.3.114
DCS321	44.169.1.30
DCS322	76.219.234.40
DCS325	168.235.80.185
DCS326	61.195.125.193
DCS327	104.238.156.182
DCS328	212.237.33.114
DCS329	153.144.119.10
DCS330	23.129.32.82
DCS332	188.213.168.99
DCS333	46.149.220.118
DCS334	96.47.95.121
DCS335	144.202.61.208
DCS337	104.251.219.231
DCS338	114.34.207.164
DCS339	178.254.30.57
DCS340	129.213.183.116
DCS344	96.126.100.128
DCS345	212.114.109.209
DCS346	128.22.135.35
DCS347	74.207.235.23
DCS349	67.85.61.239
DCS350	153.223.82.216
DCS351	15.156.176.95
DCS353	44.155.254.12
DCS356	217.174.61.117
DCS357	165.232.144.212
