# DPlus_Hosts.txt downloaded from http://www.pistar.uk/downloads/DPlus_Hosts.txt
# DPlus Hosts resolved from dstargateway.org DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistarusergroup/
# File updated on Sunday 14th of September 2025
REF000	47.206.136.225
REF001	104.237.157.7
REF002	45.79.9.51
REF003	172.236.119.217
REF004	44.15.64.29
REF005	107.216.87.219
REF006	81.2.72.40
REF007	81.2.72.55
REF008	58.12.161.10
REF009	204.89.198.18
REF010	173.14.57.146
REF011	77.68.48.138
REF012	209.112.244.26
REF013	109.69.104.195
REF014	99.43.91.146
REF015	109.69.104.196
REF016	44.32.224.44
REF017	44.137.42.28
REF018	189.44.229.62
REF019	208.87.123.35
REF020	52.23.107.220
REF021	20.80.102.57
REF022	52.32.64.78
REF023	103.127.121.18
REF024	69.41.0.15
REF025	107.161.29.191
REF026	206.12.104.8
REF027	194.116.29.72
REF028	193.190.240.229
REF029	164.92.101.80
REF030	45.79.43.161
REF031	79.136.93.241
REF032	95.160.56.46
REF033	192.92.237.247
REF034	74.81.71.218
REF035	144.202.80.94
REF036	ref036.dstargateway.org
REF037	66.158.192.62
REF038	44.15.64.53
REF039	44.15.64.54
REF040	44.15.64.61
REF041	129.105.15.195
REF042	151.249.104.38
REF043	176.10.140.189
REF044	208.43.162.89
REF045	195.251.201.214
REF046	173.230.131.217
REF047	157.7.142.13
REF048	208.88.66.244
REF049	44.15.64.55
REF050	75.147.26.195
REF051	178.128.145.141
REF052	12.5.239.46
REF053	216.243.174.245
REF054	52.86.120.0
REF055	207.251.48.194
REF056	45.56.113.164
REF057	212.107.141.130
REF058	198.58.111.136
REF059	68.183.157.128
REF060	50.194.6.1
REF061	199.231.191.187
REF062	72.17.20.174
REF063	66.207.131.4
REF064	61.195.99.81
REF065	74.207.252.19
REF066	173.255.196.45
REF067	44.34.128.167
REF068	37.59.188.30
REF069	98.170.186.140
REF070	44.10.10.21
REF071	61.195.97.218
REF072	96.92.65.12
REF073	68.67.124.145
REF074	68.67.124.146
REF075	194.195.87.237
REF076	203.137.112.200
REF077	50.116.34.190
REF078	204.15.204.154
REF079	62.255.210.254
REF080	82.223.13.53
REF081	172.104.92.125
REF082	106.240.237.114
REF083	207.244.237.3
REF084	51.83.45.178
REF085	203.74.132.35
REF086	216.126.221.240
REF087	202.125.85.134
