# Source: https://w0chp.radio/xlx-reflectors/
# Reflector ID,IP,Dashboard URL,Country,Comment
XLX000,47.206.136.225,http://xlx000.xlxreflector.org,Florida USA,The begining of the ARRG.US Array
XLX001,80.211.62.178,http://80.211.62.178,Italy Centro Digiland,DStar DMR TG22208 BM2222 YSF 22208 NXDN 22208
XLX002,78.141.231.155,http://xlx002.freestar.network,United Kingdom,FreeSTAR SYSTEMX Multimode Reflector - www.freestar.network
XLX003,93.179.193.199,http://reflektor.koledzyzradia.pl,Poland,XLX003 Upper Silesia DMR/C4FM/DSTAR
XLX004,121.43.36.126,http://121.43.36.126,Taizhou-China,Welcome to xlx004 666
XLX005,44.31.166.9,http://xlx005.freedmr.uk/,UK,Welcome to XLX005 Now with YSF
XLX006,45.32.89.165,http://xlx006.crigan.us,USA,Mateship: Fostering good relations between the US and Australia. All nations welcome
XLX007,44.137.42.27,http://dcs007.xreflector.net,The Netherlands,Hobbyscoop DCS007 XLX Reflector
XLX008,179.210.38.2,http://xlx.py1ip.com,Brazil,Hosted by PY1IP in Rio de Janeiro Brazil
XLX009,118.150.164.96,https://www.hamtalk.net,Taiwan,HAMTalk Club of Taiwan
XLX010,85.197.129.86,http://dcs010.xreflector.net,Sweden,DCS010
XLX011,81.95.126.168,http://dcs011.xreflector.net/,Belgium,Belgium D-Star XLX Multiprotocol Reflector and Smart Group Server brought to you by ON4TOP
XLX012,192.109.241.46,http://xlx012.ddns.net/db/,Poland,PL DMR/C4FM
XLX013,18.188.189.124,http://xlx.bigvortex.com,United States,Hosted by W4LUC & WB2LMV - The East Coast High Adventure Club
XLX014,52.63.223.130,https://dcs014.xreflector.net,Australia,DCS014/XLX014 DSTAR/DMR/Fusion running XLXd with Transcode
XLX015,194.59.205.228,http://dcs015.xreflector.net,Germany,DL-MultiNet-Bridge * DMR+/D-Star/C4FM/NXDN/Peanut * Transcoder on all Modules
XLX016,150.66.42.17,http://xrf016.xreflector-jp.org/,Japan,Hosted by JF7SGB in Akita-Pref Japan.
XLX017,51.83.186.28,http://kurpie.ddns.net/db/,Poland,PL Kadzidlo DMR/C4FM
XLX018,161.97.73.43,http://dcs018.xreflector.net,Spain,Spanish DSTAR Central
XLX019,31.7.247.58,http://dcs019.xreflector.net,Czech Republic and Slovakia,OK+OM D-Star DMR C4FM Multiprotocol Gateway
XLX020,66.175.215.217,http://xlx020.k2ie.net,USA,Amateur Digital for New Jersey and Beyond IPv6 Net44 (44.64.12.57) and Terminal Mode Enabled
XLX021,148.251.94.163,http://xlx.projekt-pegasus.net,Germany,PEGASUS
XLX022,144.202.64.224,https://xlx022.hamradio.services,Denver CO USA,CARBBN Multi Reflector
XLX023,77.85.192.94,http://xlx023.ddns.net,Bulgaria,IPSC2-Bulgaria bridgeroom B -->>TG 284
XLX024,5.185.11.62,http://xlx024.ddns.net/,Poland,PL Kadzidlo DMR/C4FM
XLX025,89.38.150.252,http://89.38.150.252/index.php,CATALUNYA,XLX025 RADIO CLUB AMIRED
XLX026,31.97.43.58,http://dstarbrasil.com.br,Brasil XLX026,XLX026 Brasil onde liberdade vem em primeiro lugar! (Acesse também YSF72426)
XLX027,185.203.217.7,http://xlxaras.duckdns.org/,Italy,IT D-Star Reflector (MOD C DMR - MOD D YSF MOD F MULTIPROTOCOL)
XLX028,216.128.130.30,http://xlx.k5wh.net,United States,AMSAT Please switch from 028 to SAT ie.. REFSAT DCSSAT XRFSAT or XLXSAT as we will close this one
XLX029,3.129.150.138,http://adk.bigvortex.com,United States,ADK Reflector Hosted by N2KTO
XLX030,185.230.132.103,http://xlx030.ardv.at,Austria,Digital Voice Austria
XLX031,81.7.11.224,http://xlx.pistar.eu,Germany,PI-STAR Germany / z31 OV Leer VFDB
XLX032,158.64.26.140,http://xlx032.epf.lu,Luxembourg,Hosted by RL (www.rlx.lu)
XLX033,164.132.230.151,http://xlx033.hamdigital.fr,France,XLX033 Reflecteur France DSTAR
