# DExtra_Hosts.txt downloaded from http://www.pistar.uk/downloads/DExtra_Hosts.txt
# DExtra Hosts resolved from the XReflector Directory (http://xrefl.net),
# additional host information sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistarusergroup/
# File updated on Tuesday 5th of August 2025
XRF000	47.206.136.225
XRF001	80.211.62.178
XRF002	52.36.45.107
XRF003	199.247.31.120
XRF004	121.43.36.126
XRF005	35.182.9.157
XRF006	45.76.1.189
XRF007	82.223.18.138
XRF008	179.210.38.2
XRF009	118.150.164.96
XRF010	85.197.129.86
XRF011	81.95.126.168
XRF012	216.240.173.55
XRF013	18.188.189.124
XRF014	188.213.173.6
XRF015	194.59.205.228
XRF016	xrf016.ampr.at
XRF017	51.83.186.28
XRF018	199.167.129.166
XRF019	31.7.247.58
XRF020	66.175.215.217
XRF021	148.251.94.163
XRF022	144.202.64.224
XRF023	77.85.192.94
XRF024	5.185.11.62
XRF025	89.38.150.252
XRF026	31.97.43.58
XRF027	185.203.217.7
XRF028	216.128.130.30
XRF029	188.22.212.12
XRF030	185.230.132.103
XRF031	65.114.195.171
XRF032	158.64.26.140
XRF033	164.132.230.151
XRF034	207.148.3.122
XRF035	45.79.94.184
XRF036	101.32.47.145
XRF037	185.58.193.163
XRF038	44.15.64.56
XRF039	192.109.241.46
XRF040	185.11.166.85
XRF041	206.81.1.250
XRF042	44.168.53.137
XRF043	206.189.239.225
XRF044	45.33.92.245
XRF045	70.44.20.24
XRF046	190.54.137.189
XRF047	202.171.147.58
XRF048	37.15.126.125
XRF049	54.237.10.173
XRF050	140.82.51.26
XRF051	84.127.123.185
XRF052	128.22.149.69
XRF053	172.233.149.75
XRF054	31.62.69.151
XRF055	52.80.4.154
XRF056	66.42.126.197
XRF057	212.107.141.130
XRF058	150.66.16.176
XRF059	68.0.247.194
XRF060	45.76.133.116
XRF061	192.248.160.49
XRF062	191.101.234.148
XRF063	85.215.161.24
XRF064	122.222.1.50
XRF065	65.189.90.77
XRF066	216.24.184.185
XRF067	144.202.30.59
XRF068	212.237.22.199
XRF069	51.77.213.200
XRF070	210.222.191.83
XRF071	211.60.41.185
XRF072	108.61.205.188
XRF073	45.77.192.120
XRF074	222.128.4.82
XRF075	211.60.41.186
XRF076	203.137.116.117
XRF077	141.11.210.34
XRF078	139.196.158.18
XRF079	44.31.191.62
XRF080	219.122.133.186
XRF081	59.190.22.105
XRF082	44.20.29.130
XRF083	190.100.113.203
XRF084	74.208.132.51
XRF085	113.150.26.8
XRF086	140.179.13.243
XRF087	172.236.53.203
XRF088	44.137.37.242
XRF089	155.138.240.150
XRF090	73.142.146.235
XRF091	192.81.215.15
XRF092	80.211.239.166
XRF093	212.171.81.127
XRF094	129.123.59.69
XRF095	203.137.76.53
XRF096	121.145.136.53
XRF097	207.246.112.46
XRF098	122.132.48.12
