# Master reflectors
# Name (Country); Url
FCS001 (DE);fcs001.xreflector.net
FCS002 (US);fcs002.xreflector.net
FCS003 (US);fcs003.xreflector.net
FCS004 (Latinos);fcs004.xreflector.net
FCS202 (GR);fcs202.xreflector.net
FCS208 (FR);fcs208.xreflector.net
FCS222 (IT);fcs222.xreflector.net
FCS224 (EA);fcs224.xreflector.net
FCS226 (RO);fcs226.xreflector.net
FCS232 (AT);fcs232.xreflector.net
FCS235 (GB);fcs235.xreflector.net
FCS240 (SE);fcs240.xreflector.net
FCS259 (MD);fcs259.xreflector.net
FCS260 (PL);fcs260.xreflector.net
FCS262 (DE);fcs262.xreflector.net
FCS268 (PT);fcs268.xreflector.net
FCS284 (BG);fcs284.xreflector.net
FCS302 (CA);fcs302.xreflector.net
FCS310 (US);fcs310.xreflector.net
FCS311 (US);fcs311.xreflector.net
FCS312 (US);fcs312.xreflector.net
FCS313 (US);fcs313.xreflector.net
FCS314 (US);fcs314.xreflector.net
FCS334 (MX);fcs334.xreflector.net
FCS450 (KR);fcs450.xreflector.net
FCS530 (AU);fcs530.xreflector.net
FCS505 (NZ);fcs505.xreflector.net
FCS701 (C-America);fcs701.xreflector.net
FCS722 (AR);fcs722.xreflector.net
FCS724 (BR);fcs724.xreflector.net
