# YSFHosts.txt
#
# Generated: 2025-06-26 21:01:20 UTC
# by DVRef.com | S. Miller KC1AWV
#
# Format:
# # Designator, Sponsor, Country
# designator;full_name;description;host;port;user_count;

local;local-server;test;127.0.0.1;42000;000
36633;US-K9RUF-Repeatr;RPT 147.240;k9ruf.duckdns.org;42002;000;
00223;JP-XLX223;Narusawabase;xlx223.narusawabase.cc;42000;000;
50113;US-Z-link;Rag Chew;ysfref1.myddns.me;42000;000;
51547;US-KAPIHAN;kapihan.net;162.212.155.99;42001;000;
36250;GB-Northants;NDARG 36250;ysf36250.ddns.net;42003;000;
21499;ES-CHATGPT;IA-CHATGPT;80.211.78.17;42009;000;
11111;PL-POLAND;Polish YSF;80.211.251.171;42025;000;
17771;US-LiveFreeOrDie;NewHampshire;innet.tplinkdns.com;42750;000;
05258;GB-XLXEAR;XLXEAR GB7WY;213.171.208.97;42000;000;
00942;GB-XLX942;XLX reflector;18.170.163.13;42000;000;
00208;FR-C4FM-YCS208;YCS208;ycs208.xreflector.net;42000;000;
36093;US-Whitelightnin;Whitelightning;96.47.95.121;42014;000;
21493;US-FusionTech;Bridge;mnwis-ysf.ddns.net;42000;000;
11102;US-DXLINKSYSTEM;DX-LINK SYSTEM;155.138.236.26;42000;000;
00207;GB-XLX207;;82.11.98.1;42000;000;
17535;ES-EA-TG21468;CANARIAS;80.211.78.17;42003;000;
05057;AU-VK7;;45.248.50.37;42001;000;
00935;US-XLX935-SoCal;N6LKA SoCal;xlx.n6lka.com;42000;000;
00206;US-Darksiders;Darksiders;xlx206.ddns.net;42000;000;
36037;CA-420-Network;RAGCHEW;ysf.420hamradio.network;42001;000;
21486;UA-Kropivnickiy;DMR TG25512;ysf25512.uw0wu.com;42010;000;
10978;UA-Volyn-YSF;DMR TG25503;ysf25503.uw0wu.com;42020;000;
17489;DE-DL-Baltic;Greifswald;ysf.digitalfunk-nordost.de;42001;000;
05055;AU-VK5-FDMR5055;Australia - SA;45.124.54.132;42003;000;
00933;FR-URF933;URF933;51.254.33.194;42000;000;
50246;ES-ZULURADIO;Zulu Radio;zuluradio.es;42000;000;
00204;NL-URFNL1;YSF URFNL1;141.95.54.250;42000;000;
35692;KR-YSF182;YSF182;158.180.71.152;42002;000;
51568;PH-DX1PRD;winlinkph.org;130.51.22.236;42000;000;
21475;ES-KIOSKO;HB-DO-KIOSKO;148.135.96.174;42398;000;
10902;US-URF902;URF902;urfd.dvswitch.org;42000;000;
43447;US-NYNJ;NYNJ;50.4.199.106;42001;000;
17478;BR-URFBRA;URFBRA;xlxbra.net;17478;000;
05050;AU-FD-VK-TG505;FD TG 505 CALL;australia.oz-dmr.network;42505;000;
00927;US-K2AS-XLX927;K2AS XLX927;69.164.209.180;42000;000;
00202;GR-GREECE-DV;GR-GREECE-DV;reflector.freedmr.gr;42000;000;
35691;KR-YSF841;YSF841;152.67.216.222;42001;000;
21450;XX-EA-ZARAGOZA;DSTAR/YSF/DMR;ec2ut.ddns.net;42000;000;
10814;US-BooneCountyIL;Local UHF Rpt;73.209.171.33;42005;000;
43389;US-SELINK;SouthEast Link;ysfsel.lmarc.net;42000;000;
17223;AR-XLX-199;LINK TG 7223;194.195.215.143;42000;000;
05031;US-KK7GKG-ASL;KK7GKG/2;site0.kk7gkg.com;42000;000;
00922;GB-CQ-UK;Multimode;81.150.10.62;42000;000;
00193;CA-XLX193;Ottawa XLX193;xlx193.my.to;42000;000;
50455;US-Bayou-Link;Bayou Link;157.245.82.220;42000;000;
35648;UA-Zakarpate-YSF;DMR TG25507;ysf25507.uw0wu.com;42018;000;
21449;ES-EA-Distrito-9;EA-Distrito-9;212.227.87.198;42009;000;
51616;US-KR6DK-Network;www.KR6DK.com;airspy.ddns.net;42000;000;
10688;RO-TMSM5KAW;YO5KAW-Radio c;86.125.255.233;42002;000;
00188;US-XLX188;Bit by Bit Ham;xlx.bitbybithams.com;42000;000;
43192;UA-Lugansk-YSF;DMR TG25513;ysf25513.uw0wu.com;42023;000;
17206;CA-ON-ProCom;ON Prov Comms;freestar.homelinux.net;42000;000;
05030;US-KK7GKG-ASL;KK7GKG/1;site1a.kk7gkg.com;42000;000;
